Id	Name	Element Type	Element Category	Unique Id2	WorksetId
697798	Linear Dimension Style	DimensionType	Dimensions - Automatic Sketch Dimensions	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa5c6	Shared Levels & Grids
697799	Linear Dimension Style	DimensionType	Dimensions - Automatic Sketch Dimensions	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa5c7	Shared Levels & Grids
697800	Linear Dimension Style	DimensionType	Dimensions - Automatic Sketch Dimensions	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa5c8	Shared Levels & Grids
697801	Linear Dimension Style	DimensionType	Dimensions - Automatic Sketch Dimensions	275b64b7-f2ac-44ee-86c7-e52b6848b8ad-000aa5c9	Shared Levels & Grids
697872	Fence	Fence	Walls	c31579c5-fe26-45a1-8761-6fd5533120f2-000aa610	Shared Levels & Grids
697873	Fence	"Family Type: Fence, Family: System Panel"	Curtain Panels	c31579c5-fe26-45a1-8761-6fd5533120f2-000aa611	Shared Levels & Grids
697874	Fence	Fence	Walls	c31579c5-fe26-45a1-8761-6fd5533120f2-000aa612	Shared Levels & Grids
697875	Fence	"Family Type: Fence, Family: System Panel"	Curtain Panels	c31579c5-fe26-45a1-8761-6fd5533120f2-000aa613	Shared Levels & Grids
697876	Fence	Fence	Walls	c31579c5-fe26-45a1-8761-6fd5533120f2-000aa614	Shared Levels & Grids
697877	Fence	"Family Type: Fence, Family: System Panel"	Curtain Panels	c31579c5-fe26-45a1-8761-6fd5533120f2-000aa615	Shared Levels & Grids
697878	Fence	Fence	Walls	c31579c5-fe26-45a1-8761-6fd5533120f2-000aa616	Shared Levels & Grids
697879	Fence	"Family Type: Fence, Family: System Panel"	Curtain Panels	c31579c5-fe26-45a1-8761-6fd5533120f2-000aa617	Shared Levels & Grids
697933	Grid Line		Walls - Curtain Wall Grids	c31579c5-fe26-45a1-8761-6fd5533120f2-000aa64d	Shared Levels & Grids
697934	Fence	"Family Type: Fence, Family: System Panel"	Curtain Panels	c31579c5-fe26-45a1-8761-6fd5533120f2-000aa64e	Shared Levels & Grids
